dry_temp,discharge_temp
-19,10.053
-18,10.053
-17,10.053
-16,10.053
-15,10.053
-14,10.053
-13,10.053
-12,10.053
-11,10.053
-10,10.053
-9,10.129
-8,10.351
-7,10.662
-6,11.296
-5,11.735
-4,12.356
-3,12.972
-2,13.361
-1,13.808
0,14.408
1,14.805
2,15.203
3,15.846
4,16.28
5,16.715
6,17.339
7,17.826
8,18.255
9,18.642
10,19.141
11,19.641
12,20.138
13,20.624
14,21.107
15,21.566
16,22.024
17,22.495
18,22.967
19,23.41
20,23.845
21,24.299
22,24.753
23,25.21
24,25.674
25,26.149
26,26.638
27,27.106
28,27.553
29,28.012
30,28.488
31,28.955
32,29.41
33,29.866
34,30.505
35,30.99
36,31.56
37,32.001
38,32.42
39,32.946
40,33.54
41,33.956
42,34.364
43,35.058
44,35.522
