T_basin;Efficiency_extrapolated
0;0.98773
1;0.990102
2;0.992218
3;0.994078
4;0.995682
5;0.99703
6;0.998122
7;0.998958
8;0.999538
9;0.999862
10;0.99993
11;0.999742
12;0.999298
13;0.998598
14;0.997642
15;0.99643
16;0.994962
17;0.993238
18;0.991258
19;0.989022
20;0.98653
21;0.983782
22;0.980778
23;0.977518
24;0.974002
25;0.97023
26;0.966202
27;0.961918
28;0.957378
29;0.952582
30;0.94753
31;0.942222
32;0.936658
33;0.930838
34;0.924762
35;0.91843
36;0.911842
37;0.904998
38;0.897898
39;0.890542
40;0.88293
