dry_temp,evap_flow
-19,0.6092
-18,0.6092
-17,0.6091
-16,0.6091
-15,0.609
-14,0.6089
-13,0.6088
-12,0.6088
-11,0.6087
-10,0.6086
-9,0.611
-8,0.6227
-7,0.6333
-6,0.6436
-5,0.654
-4,0.6643
-3,0.6749
-2,0.6856
-1,0.6949
0,0.7041
1,0.713
2,0.7216
3,0.7303
4,0.7404
5,0.7506
6,0.7608
7,0.7704
8,0.7799
9,0.7898
10,0.8002
11,0.8101
12,0.8199
13,0.8292
14,0.8377
15,0.8461
16,0.8561
17,0.8661
18,0.8758
19,0.885
20,0.8941
21,0.9027
22,0.9106
23,0.9185
24,0.9267
25,0.9349
26,0.9432
27,0.9513
28,0.9584
29,0.9654
30,0.9725
31,0.9796
32,0.9858
33,0.992
34,0.9985
35,1.0051
36,1.0113
37,1.0174
38,1.0232
39,1.0288
40,1.034
41,1.0392
42,1.044
43,1.0487
44,1.0528
45,1.0569
