dry_temp,evap_flow
-19,0.5976
-18,0.5976
-17,0.5976
-16,0.5976
-15,0.5976
-14,0.5976
-13,0.5976
-12,0.5976
-11,0.5976
-10,0.5983
-9,0.6098
-8,0.6208
-7,0.6311
-6,0.6414
-5,0.6516
-4,0.6619
-3,0.6722
-2,0.6827
-1,0.6931
0,0.702
1,0.7106
2,0.719
3,0.727
4,0.7351
5,0.7433
6,0.7522
7,0.7611
8,0.7694
9,0.7773
10,0.7851
11,0.7928
12,0.8
13,0.8073
14,0.8145
15,0.8217
16,0.8287
17,0.8352
18,0.8416
19,0.8483
20,0.8551
21,0.862
22,0.8688
23,0.8747
24,0.8806
25,0.8865
26,0.8923
27,0.8981
28,0.9039
29,0.9096
30,0.9147
31,0.9195
32,0.9244
33,0.9293
34,0.9343
35,0.9394
36,0.9445
37,0.9495
38,0.9542
39,0.9586
40,0.9631
41,0.9669
42,0.9706
43,0.9755
44,0.9802
45,0.9837
