eic_p;eic_g;name_p;name_g;capacity_p;capacity_g;type_g;lat;lon;country;NUTS2;status_g;year_commissioned;year_decommissioned;water_type;cooling_type;water_withdrawal;water_consumption;eff;best_source;region
11WD4GKM-2CD7--7;11W0-0000-0006-5;GKM AG Amprion;GKM AG Amprion;691.0;691.0;Fossil Hard coal;49.446;8.49;Germany;DE12;COMMISSIONED;1982.0;;Freshwater;Once-through;137.59;0.95;0.35;Class_derived;Rhine
11WD4GKM-XCD0--3;11W0-0000-0004-B;GKM AG DBEnergie;GKM AG DBEnergie;244.0;244.0;Fossil Hard coal;49.445;8.5;Germany;DE12;COMMISSIONED;;;Freshwater;Once-through;137.59;0.95;0.32;Class_derived;Rhine
11WD4GKM-2CD4--J;11W0-0000-0005-8;GKM AG TNG;GKM AG TNG;1036.0;1036.0;Fossil Hard coal;49.446;8.49;Germany;DE12;COMMISSIONED;;;Freshwater;Once-through;137.59;0.95;0.35;Class_derived;Rhine
11WD7BRAU5G-KW-N;11WD7BRAU5G-GUDH;GuD Dormagen;GuD Dormagen;586.0;586.0;Fossil Gas CC;51.08;6.828;Germany;DEA1;COMMISSIONED;2000.0;;Freshwater;Mechanical Draught Tower;0.96;0.78;0.38;Class_derived;Rhine
11WD7LUDW2GA800M;11WD7LUDW2GGT12C;GuD Ludwigshafen Mitte;Block GT 12;412.0;206.0;Fossil Gas CC;49.453;8.433;Germany;DEB3;COMMISSIONED;1997.0;;Freshwater;Once-through;43.07;0.38;0.35;Class_derived;Rhine
11WD7LUDW2GA800M;11WD7LUDW2GGT11E;GuD Ludwigshafen Mitte;Block GT 11;412.0;206.0;Fossil Gas CC;49.453;8.433;Germany;DEB3;COMMISSIONED;1997.0;;Freshwater;Air Cooling;0.01;0.01;0.38;Class_derived;Rhine
11WD7LUDW5GSUEDE;11WD7LUDW5GSDG1Q;GuD Ludwigshafen Süd;Block GT1;345.0;178.0;Fossil Gas CC;49.453;8.433;Germany;DEB3;COMMISSIONED;1997.0;;Freshwater;Once-through;43.07;0.38;0.48;OEM_derived;Rhine
11WD7LUDW5GSUEDE;11WD7LUDW5GSDG2O;GuD Ludwigshafen Süd;Block GT2;345.0;167.0;Fossil Gas CC;49.453;8.433;Germany;DEB3;COMMISSIONED;1997.0;;Freshwater;Once-through;43.07;0.38;0.37;OEM_derived;Rhine
11WD7BEEC5XHAKW5;11WD7BEEC5XHAM3K;HAMBORN-KW;HAMBORN-3;385.0;60.0;Fossil Coal-derived gas;51.492;6.727;Germany;DEA1;COMMISSIONED;1958.0;;Freshwater;Natural Draught Tower;4.55;3.13;0.4;Class_derived;Rhine
11WD7BEEC5XHAKW5;11WD7BEEC5XHAM4I;HAMBORN-KW;HAMBORN-4;385.0;100.0;Fossil Coal-derived gas;51.492;6.727;Germany;DEA1;COMMISSIONED;1958.0;;Freshwater;Natural Draught Tower;4.55;3.13;0.4;Class_derived;Rhine
